Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
644;PdBialyLegionowa8;PL0147A;BIAùYSTOK LEGIONOWA 8 POSESJA;PdBialyLegionowa8;01.11.2003;31.12.2009;tào;miejski;kontenerowa stacjonarna;PODLASKIE;Biaàystok;ul. Legionowa 8;53.131111;23.158889
645;PdBialyPorzeczkowa;;Biaàystok ul Porzeczkowa 11;PdBialyPorzeczkowa;01.01.1994;31.12.2002;tào;miejski;w budynku;PODLASKIE;Biaàystok;ul. Porzeczkowa 11;53.151186;23.119169
646;PdBialyWarszaw;;Biaàystok ul. Warszawska 57 A;PdBialyWarszaw;01.01.1983;31.12.2002;tào;miejski;w budynku;PODLASKIE;Biaàystok;ul. Warszawska 57 A;53.131078;23.174142
647;PdBiePodKosciuszki;;Bielsk Podlaski ul Koòciuszki 16;PdBiePodKosciuszki;01.01.1994;31.12.2002;tào;miejski;w budynku;PODLASKIE;Bielsk Podlaski;ul. Koòciuszki 16;52.769472;23.187025
648;PdBorsukowiz;PL0150A;Borsukowizna-Wiejska;PdBorsuWiejska;01.09.2004;;tào;pozamiejski;kontenerowa stacjonarna;PODLASKIE;Borsukowizna;;53.215492;23.642153
649;PdGrajewKonsty3M;;Grajewo ul Konstytucji 3 Maja 3;PdGrajewKonsty3M;02.01.1995;31.12.2002;tào;miejski;w budynku;PODLASKIE;Grajewo;ul. Konstytucji 3 Maja 3;53.643994;22.461244
650;PdGrajNowickiego;;Grajewo - lab. mobilne;PdGrajNowickiego;01.01.2005;31.12.2005;tào;miejski;mobilna;PODLASKIE;Grajewo;ul. T. Nowickiego;53.648508;22.450900
651;PdHajnowkJagMOB;PL0651A;Hajn¢wka-mobilne;PdHajnowkJagMOB;01.01.2015;31.12.2016;tào;miejski;mobilna;PODLASKIE;Hajn¢wka;ul. Wàadysàawa Jagieàày;52.739528;23.586139
652;PdLomSikorsk;PL0151A;Lomza Sikorskiego 48/94;PdLomzaSikorskiego;01.01.2002;;tào;miejski;kontenerowa stacjonarna;PODLASKIE;ùomæa;ul. Sikorskiego 48/94;53.181394;22.054381
653;PdLomzaKopernika16;;Lomza Kopernika16;PdLomzaKopernika16;01.07.1996;30.04.2004;tào;miejski;w budynku;PODLASKIE;ùomæa;ul. Kopernika;53.174836;22.075947
654;PdLomzaSadowa;;ùomæa ul Sadowa 3;PdLomzaSadowa;02.01.1994;31.12.2002;tào;miejski;w budynku;PODLASKIE;ùomæa;ul. Sadowa 3;53.177778;22.082500
655;PdSiemPilsudskiego;;Siemiatycze - lab. mobilne;PdSiemPilsudskiego;18.01.2008;31.12.2008;tào;miejski;mobilna;PODLASKIE;Siemiatycze;ul. Piàsudskiego;52.423019;22.863833
656;PdSokol1Maja;;Sok¢àka ul 1- go Maja 13;PdSokol1Maja;03.01.1991;31.12.2002;tào;miejski;w budynku;PODLASKIE;Sok¢àka;ul. 1 Maja 13;53.404722;23.499444
657;PdSuw1Maja;;Suwaàki ul. 1 - go Maja 12;PdSuw1Maja;01.01.1994;31.12.2002;tào;miejski;w budynku;PODLASKIE;Suwaàki;ul. 1 Maja;54.099675;22.935967
658;PdSuwPulaski;PL0152A;Suwaàki, ul. Puàaskiego 73;PdSuwPulaski;18.03.1992;31.12.2017;tào;miejski;kontenerowa stacjonarna;PODLASKIE;Suwaàki;ul. Puàaskiego;54.117878;22.934608
659;PdSuwPulaskp;PL0706A;Suwaàki, ul. Puàaskiego 26;PdSuwPulaskp;01.08.2018;;tào;miejski;kontenerowa stacjonarna;PODLASKIE;Suwaàki;ul. Puàaskiego 26;54.116056;22.938750
660;PdZambObronZamb;;Zambr¢w ul Obro‰c¢w Zambrowa 50;PdZambObronZamb;02.01.1997;31.12.2002;tào;miejski;w budynku;PODLASKIE;Zambr¢w;ul. Obro‰c¢w Zambrowa 50;52.985556;22.253333
661;PkCzarnaWSSENafGaz;PL0153A;Czarna-OòrNaftaGaz-WSSE;PkCzarnaWSSENafGaz;01.01.1994;31.12.2006;tào;pozamiejski;w budynku;PODKARPACKIE;Czarna;ul. Oòrodek Wyp-Szkol Nafta-Gaz;49.308889;22.663903
662;PkDebicaWSSEParkow;PL0154A;D©bica-Parkowa-WSSE;PkDebicaWSSEParkow;01.01.1999;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;D©bica;ul. Parkowa 2;50.046667;21.402222
663;PkDebiGrottg;PL0621A;D©bica-Grottgera-WIOS;PkDebicaWIOSGrottgera;01.01.2015;;tào;miejski;wolnostoj•cy pobornik pyàu;PODKARPACKIE;D©bica;Grottgera 3;50.054786;21.416256
664;PkGorzycWSSEKEN;;Gorzyce-KEN-WSSE;PkGorzycWSSEKEN;07.01.1991;31.12.2002;przemysàowa;miejski;w budynku;PODKARPACKIE;Gorzyce;ul. Komisji Edukacji Narodowej;50.657792;21.845280
665;PkHorZdrParkMOB;PL0716A;Horyniec-Zdr¢j-Park;PkHorZdrParkMOB;01.01.2019;30.12.2019;tào;podmiejski;mobilna;PODKARPACKIE;Horyniec-Zdr¢j;aleja Przyja´ni;50.192100;23.361425
666;PkHorZdrWSSESobies;PL0155A;Horyniec-Zdr¢j-Sobieskiego-WSSE;PkHorZdrWSSESobies;01.01.1979;31.12.2009;tào;pozamiejski;w budynku;PODKARPACKIE;Horyniec-Zdr¢j;ul. Sobieskiego 60;50.189167;23.362222
667;PkIwonZdrRab;PL0676A;Iwonicz-Zdr¢j-WIOS;PkIwonZdrRab;01.01.2017;;tào;podmiejski;wolnostoj•cy pobornik pyàu;PODKARPACKIE;Iwonicz-Zdr¢j;Ksi©dza R•ba;49.565183;21.791308
668;PkIwZdrWSSEToros;;IwoniczZdr-Torosiewicza-WSSE;PkIwZdrWSSEToros;01.01.1986;31.12.2006;tào;miejski;w budynku;PODKARPACKIE;Iwonicz-Zdr¢j;ul. Torosiewicza 2;49.561388;21.788880
669;PkJarosPruch;PL0554A;Jarosàaw-PWSTE-WIOS;PkJarosWIOSPWSTE;01.01.2012;;tào;miejski;wolnostoj•cy pobornik pyàu;PODKARPACKIE;Jarosàaw;Pruchnicka;50.012083;22.674772
670;PkJarosWIOSJanPawII;PL0410A;Jarosàaw-JanaPawàaII-WIOS;PkJarosWIOSJanPawII;01.09.2007;31.12.2010;tào;miejski;rozproszona;PODKARPACKIE;Jarosàaw;ul. Jana Pawàa II;50.015833;22.672778
671;PkJarosWSSE3Maja;PL0411A;Jarosàaw - 3 Maja -WSSE;PkJarosWSSE3Maja;01.01.2008;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Jarosàaw;ul. 3 Maja;50.013333;22.693056
672;PkJarosWSSEGrunw;PL0156A;Jarosàaw-Grunwaldzka-WSSE;PkJarosWSSEGrunw;01.01.2002;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Jarosàaw;ul. Grunwaldzka 7;50.016389;22.680278
673;PkJasloSikor;PL0518A;Jaslo-Sikorskiego-WIOS;PkJasloWIOSSikorskiego;01.08.2009;;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Jasào;Sikorskiego;49.744886;21.454617
674;PkJasloWIOSFabr;PL0412A;Jasào-Fabryczna-WIOS;PkJasloWIOSFabr;11.09.2007;31.07.2009;tào;miejski;mobilna;PODKARPACKIE;Jasào;ul. Fabryczna;49.754444;21.541117
675;PkJasloWIOSFlor;PL0157A;Jasào-Floria‰ska-WIOS;PkJasloWIOSFlor;01.03.2003;31.12.2011;tào;miejski;w budynku;PODKARPACKIE;Jasào;ul. Floria‰ska 108;49.739167;21.482778
676;PkJasloWIOSFlor2;PL0275A;Jasào-Floria‰ska-WIOS2;PkJasloWIOSFlor2;04.08.2006;31.12.2010;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Jasào;ul. Floria‰ska 108;49.739444;21.482222
677;PkJasloWIOSMickiew;;Jasào-Mickiewicza-WIOS;PkJasloWIOSMickiew;01.01.1993;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Jasào;ul. Mickiewicza;49.748056;21.463889
678;PkJasloWSSE3Maja;;Jasào-3Maja-WSSE;PkJasloWSSE3Maja;01.01.1984;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Jasào;ul. 3 Maja 68;49.739444;21.483056
679;PkJasloWSSEFloria;;Jasào-Floria‰ska-WSSE;PkJasloWSSEFloria;01.01.1988;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Jasào;ul. Floria‰ska 108;49.747500;21.471667
680;PkJasloWSSEKoralew;;Jasào-Koralewskiego-WSSE;PkJasloWSSEKoralew;01.01.1997;31.08.2005;tào;miejski;w budynku;PODKARPACKIE;Jasào;ul. Koralewskiego 13;49.747222;21.471389
681;PkJasloWSSESrocz;;Jasào-Sroczy‰skiego-WSSE;PkJasloWSSESrocz;01.01.1998;31.12.2006;tào;miejski;w budynku;PODKARPACKIE;Jasào;ul. Sroczy‰skiego;49.751944;21.482778
682;PkKolbWSSETyszk;;Kobuszowa-Tyszkiew-WSSE;PkKolbWSSETyszk;18.04.2000;31.12.2002;tào;miejski;w budynku;PODKARPACKIE;Kolbuszowa;ul. Tyszkiewicz¢w 5;50.248056;21.778889
683;PkKomanWSSEOsZdr;;Koma‰cza-OòrodekZdr-WSSE;PkKomanWSSEOsZdr;01.01.1993;31.12.2006;tào;pozamiejski;w budynku;PODKARPACKIE;Koma‰cza;ul. Oòrodek Zdrowia;49.336111;22.068889
684;PkKrempnaMPN;PL0622A;Krempna-MPN-WIOS;PkKrempnaWIOSMPN;06.10.2014;;tào;pozamiejski;kontenerowa stacjonarna;PODKARPACKIE;Krempna;;49.511297;21.498606
685;PkKrempWIOSGrab;;Grab-WIOó;PkKrempWIOSGrab;01.01.1996;30.04.2004;tào;pozamiejski;w budynku;PODKARPACKIE;Grab;ul. Grab;49.433611;21.445000
686;PkKrosKletow;PL0413A;Krosno-Klet¢wki;PkKrosnoWIOSKletowki;01.01.2008;;tào;miejski;rozproszona;PODKARPACKIE;Krosno;Klet¢wki;49.690169;21.749700
687;PkKrosnoWSSEKisiel;;Krosno-Kisielewskiego-WSSE;PkKrosnoWSSEKisiel;01.01.1992;31.12.2004;tào;miejski;w budynku;PODKARPACKIE;Krosno;ul. Kisielewskiego 12;49.683889;21.755278
688;PkKrosnoWSSEKisielewskiego;PL0257A;Krosno-Kisielewskiego;PkKrosnoWSSEKisielewskiego;01.01.2006;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Krosno;ul. Kisielewskiego 12;49.683611;21.755556
689;PkKrosnoWSSELewak;PL0159A;Krosno-Lewakowskiego-WSSE;PkKrosnoWSSELewak;01.01.1984;31.12.2006;tào;miejski;w budynku;PODKARPACKIE;Krosno;ul. Lewakowskiego 14;49.693889;21.755278
690;PkKrosnoWSSEStasz;;Krosno-Staszica-WSSE;PkKrosnoWSSEStasz;01.01.1984;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Krosno;ul. Staszica;49.691667;21.767222
691;PkLeskoWSSERynek;PL0160A;Lesko-Rynek-WSSE;PkLeskoWSSERynek;01.01.2004;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Lesko;ul. Rynek1;49.468889;22.331111
692;PkLubaczWSSEMickiew;;Lubacz¢w-Mickiewicza-WSSE;PkLubaczWSSEMickiew;01.01.1981;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Lubacz¢w;ul. Mickiewicza 45;50.160833;23.120833
693;PkMielBierna;PL0677A;Mielec-Biernackiego-WIOS;PkMielBierna;01.01.2017;;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Mielec;Biernackiego;50.299128;21.440942
694;PkMielPogodn;PL0652A;Mielec-Pogodna-WIOS;PkMielPogodn;01.01.2016;;przemysàowa;miejski;wolnostoj•cy pobornik pyàu;PODKARPACKIE;Mielec;Pogodna 2;50.318036;21.486372
695;PkMielSolski;PL0623A;Mielec-MOSIR-WIOS;PkMielecWIOSSolskiego;06.10.2014;31.12.2016;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Mielec;ul. Solskiego;50.300761;21.434331
696;PkMielWSSEGrunw;PL0223A;MIelec-Grunwaldzka-WSSE;PkMielWSSEGrunw;01.01.2004;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Mielec;ul. Grunwaldzka 7;50.296667;21.435833
