Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
263;LbHrubieszowWIOS;PL0351A;Hrubiesz¢w Gr¢decka;LbHrubieszowWIOS;06.02.2003;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Hrubiesz¢w;ul. Gr¢decka 36;50.804722;23.913056
264;LbHrubieszowWSSE;;Hrubiesz¢w Mickiewicza;LbHrubieszowWSSE;02.01.2002;31.12.2003;tào;miejski;w budynku;LUBELSKIE;Hrubiesz¢w;ul. Mickiewicza 2;50.802778;23.896111
265;LbJarczWolaM;PL0002R;IMGW-Jarczew;LbJarczew;01.10.1985;;tào;pozamiejski;kontenerowa stacjonarna;LUBELSKIE;Jarczew;;51.814367;21.972375
266;LbKra-awWSSE;PL0352A;Krasnystaw ul. Sikorskiego;LbKra-awWSSE;18.01.1990;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Krasnystaw;ul. Sikorskiego 3a;50.981547;23.170486
267;LbKrasKoszar;PL0353A;Kraònik ul. Koszarowa;LbKrasnikKoszarowa;01.01.2007;;tào;podmiejski;wolnostoj•cy pobornik pyàu;LUBELSKIE;Kraònik;ul. Koszarowa 10A;50.928239;22.228308
268;LbKrasnikSpoldziel;PL0354A;Kraònik Ul. Sp¢àdzielcza;LbKrasnikSpoldziel;25.01.1994;31.12.2008;tào;miejski;w budynku;LUBELSKIE;Kraònik;ul. Sp¢àdzielcza 3;50.927486;22.228567
269;LbKrasnobrodWSSELel;;Krasnobr¢d ul. Lelewela 2;LbKrasnobrodWSSELel;23.01.2002;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Krasnobr¢d;ul. Lelewela 2;50.543850;23.215858
270;LbLeczna1000Lecia;PL0269A;ù©czna ul. 1000-Lecia;LbLeczna1000Lecia;01.09.2006;31.12.2010;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;ù©czna;ul. 1000-Lecia 12;51.304450;22.883331
271;LbLublin_Chmielna;;Lublin ul. Chmielna;LbLublin_Chmielna;03.01.1994;31.12.2002;tào;miejski;w budynku;LUBELSKIE;Lublin;ul. Chmielna 10;51.251289;22.555800
272;LbLublin_Krasn;PL0253A;Lublin Al. Kraònicka;LbLublin_Krasn;01.01.2006;10.05.2010;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Lublin;al. Kraònicka 2 CD;51.247225;22.523883
273;LbLublinMaszynowa;PL0356A;Lublin ul. Maszynowa;LbLublinMaszynowa;10.03.1986;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Lublin;ul. Maszynowa 2;51.244431;22.595297
274;LbLublinNadrzecz;;Lublin Ul. Nadrzeczna;LbLublinNadrzecz;02.01.1991;31.12.2002;tào;miejski;w budynku;LUBELSKIE;Lublin;ul. Nadrzeczna 16;51.222225;22.581822
275;LbLublinObywat_13;PL0086A;Lublin ul. Obywatelska 13;LbLublinObywat_13;04.10.2000;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Lublin;ul. Obywatelska 13;51.259269;22.568522
276;LbLublinOgrod;;Lublin Ogr¢d Botaniczny;LbLublinOgrod;05.09.2003;31.12.2006;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Lublin;ul. Sàawinkowska 3;51.263964;22.514581
277;LbLublinPiel;PL0087A;Lublin Ul. Piel©gniarek;LbLublinPiel;22.05.2001;31.12.2009;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Lublin;ul. Piel©gniarek 6;51.239444;22.507500
278;LbLublinSpokojna;PL0206A;Lublin Ul. Spokojna (ór¢dmieòcie);LbLublinSpokojna;01.01.2003;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Lublin;ul. Spokojna 9;51.250731;22.554769
279;LbLubObywate;PL0507A;Lublin ul. Obywatelska;LbLublinWIOS;21.05.2010;;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Lublin;ul. Obywatelska 13;51.259431;22.569133
280;LbLubSliwins;PL0085A;Lublin Ul. óliwi‰skiego;LbLublin_Sliwins_5;01.07.2001;;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Lublin;ul. óliwi‰skiego 5;51.273078;22.551675
281;LbLukowBrowarna;PL0357A;WIOó-ùuk¢w-Browarna;LbLukowBrowarna;03.01.2007;31.12.2010;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;ùuk¢w;ul. Browarna 63;51.928564;22.377758
282;LbLukowSpoldzielcza;PL0088A;PSSE-ùuk¢w-Sp¢àdzielcza;LbLukowSpoldzielcza;01.02.1999;31.12.2008;tào;miejski;w budynku;LUBELSKIE;ùuk¢w;ul. Spoàdzielcza 4;51.929722;22.380569
283;LbMiedzPModrzewiowa;;PSSE-Mi©dzyrzecP-Modrzewiowa;LbMiedzPModrzewiowa;15.01.1997;31.12.2003;tào;podmiejski;w budynku;LUBELSKIE;Mi©dzyrzec Podlaski;ul. Modrzewiowa 27;51.996064;22.802539
284;LBMiedzPStaromiejska;PL0358A;PSSE-Mi©dzyrzecP-Staromiejska;LBMiedzPStaromiejska;05.01.2004;31.12.2008;tào;miejski;w budynku;LUBELSKIE;Mi©dzyrzec Podlaski;ul. Staromiejska 20;51.985278;22.787097
285;LbNaleczow;PL0710A;Naà©cz¢w;LbNaleczow;22.01.2019;;tào;podmiejski;wolnostoj•cy pobornik pyàu;LUBELSKIE;Naà©cz¢w;Al. Maàachowskiego;51.284931;22.210242
286;LbNaleczowKasztan;PL0359A;Naà©cz¢w Ul. Kasztanowa;LbNaleczowKasztan;04.01.1993;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Naà©cz¢w;ul. Kasztanowa 1;51.287361;22.208233
287;LbPulaKarpin;PL0657A;Puàawy ul. Karpi‰skiego;LbPulawyKarp;01.06.2015;;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Puàawy;ul. Karpi‰skiego 5;51.419047;21.961089
288;LbPulaSkowie;PL0089A;Puàawy ul. Skowieszy‰ska;LbPulawySkowieszynska;22.07.2003;31.12.2015;tào;podmiejski;wolnostoj•cy pobornik pyàu;LUBELSKIE;Puàawy;ul. Skowieszy‰ska 51;51.410614;21.976375
289;LbPulawyLubelska;PL0360A;Puàawy Ul. Lubelska;LbPulawyLubelska;04.01.1993;01.01.2015;tào;miejski;w budynku;LUBELSKIE;Puàawy;ul. Lubelska 5;51.417258;21.972761
290;LbRadzPodSit;PL0270A;Radzy‰P-Sitkowskiego;LbRadzyPSitkowskiego;08.11.2006;;tào;podmiejski;wolnostoj•cy pobornik pyàu;LUBELSKIE;Radzy‰ Podlaski;ul. Sitkowskiego 1b;51.78;22.625944
291;LbRadzyPPocztowa;PL0090A;PSSE-Radzy‰P-Pocztowa;LbRadzyPPocztowa;01.01.1984;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Radzy‰ Podlaski;ul. Pocztowa 5;51.784558;22.619614
292;LbRejowiecFabrWIOS;PL0361A;Rejowiec Fabryczny;LbRejowiecFabrWIOS;01.09.2006;31.12.2010;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Rejowiec Fabryczny;ul. Cheàmska 51A;51.110278;23.246944
293;LbSwidnikWPolskiego;PL0362A;ówidnik ul. Wojska Polskiego;LbSwidnikWPolskiego;12.01.2004;31.12.2009;tào;miejski;w budynku;LUBELSKIE;ówidnik;ul. Wojska Polskiego 27;51.221919;22.687217
294;LbSwidnikWyszyns;;ówidnik Ul. Wyszy‰skiego;LbSwidnikWyszyns;24.03.1993;31.12.2003;tào;miejski;w budynku;LUBELSKIE;ówidnik;ul. Wyszy‰skiego 15;51.217625;22.698714
295;LbSzczebPartyzantow;PL0363A;Szczebrzeszyn;LbSzczebPartyzantow;10.02.2003;31.12.2008;tào;miejski;w budynku;LUBELSKIE;Szczebrzeszyn;ul. Partyzant¢w 35;50.698056;22.971944
296;LbTomaszowLubWIOS;PL0271A;Tomasz¢w Lubelski ul. Lwowska 68;LbTomaszowLubWIOS;01.09.2006;31.12.2010;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;Tomasz¢w Lubelski;ul. Lwowska 68;50.447500;23.414444
297;LbTomaszowLubWSSE;PL0364A;Tomasz¢w Lubelski ul. Lwowska 51;LbTomaszowLubWSSE;02.01.1995;31.12.2008;tào;miejski;w budynku;LUBELSKIE;Tomasz¢w Lubelski;ul. Lwowska 51;50.447778;23.416944
298;LbWilczopole;PL0488A;Lublin-Podmiejska;LbWilczopole;01.09.2006;;tào;pozamiejski;w budynku;LUBELSKIE;Wilczopole;;51.163542;22.598608
299;LbWlodawWSSE;PL0365A;Wàodawa ul. Pilsudskiego;LbWlodawWSSE;02.01.1985;31.12.2009;tào;miejski;w budynku;LUBELSKIE;Wàodawa;ul. Piàsudskiego 66;51.552308;23.554408
300;LbZamoHrubie;PL0091A;ZamoòÜ ul. Hrubieszowska 69A;LbZamoscHrubieszowsk;01.01.1992;;tào;miejski;kontenerowa stacjonarna;LUBELSKIE;ZamoòÜ;ul. Hrubieszowska 69A;50.716628;23.290247
301;LbZamoscWSSE;PL0092A;ZamoòÜ ul. Peowiak¢w 96;LbZamoscWSSE;12.06.1985;31.12.2009;tào;miejski;w budynku;LUBELSKIE;ZamoòÜ;ul. Peowiak¢w 96;50.716111;23.260833
302;LdAlekslWSSEMSklodow;;Aleksandr¢w ù.-Skàodowskiej Curie1;LdAlekslWSSEMSklodow;05.04.1976;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Aleksandr¢w ù¢dzki;ul. Skàodowskiej Curie 1;-999;-999
303;LdBelchatEdward;PL0665A;Beàchat¢w-Edward¢w 5;LdBelchatEdward;01.01.2017;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Beàchat¢w;ul. Edward¢w 5;51.356611;19.365806
304;LdBelchaWSSEMOkrzei;PL0093A;Beàchat¢w-Okrzei49;LdBelchaWSSEMOkrzei;01.01.1988;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Beàchat¢w;ul. Okrzei S. 49;51.360278;19.367778
305;LdBrzeReform;PL0366A;Brzeziny-Reformacka1;LdBrzeziWIOSMReforma;01.01.2010;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Brzeziny;ul. Reformacka 1;51.797814;19.755769
306;LdBrzeziWSSEMReforma;;Brzeziny-Reformacka;LdBrzeziWSSEMReforma;16.10.1990;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Brzeziny;ul. Reformacka 3;-999;-999
307;LdGajewUjWod;PL0094A;Gajew;LdGajewWIOSAGajew;01.11.2003;;tào;pozamiejski;kontenerowa stacjonarna;ù‡DZKIE;Gajew;Uj©cie wody;52.143250;19.233225
308;LdKutnKosciu;PL0607A;Kutno-Koòciuszki 26;LdKutnoWIOSMKoscius;01.01.2014;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Kutno;ul. Koòciuszki 26;52.234481;19.368186
309;LdKutnoWIOSMWilcza;PL0095A;Kutno Wilcza;LdKutnoWIOSMWilcza;01.03.1993;31.12.2015;tào;miejski;w budynku;ù‡DZKIE;Kutno;ul. Wilcza 5a;52.228489;19.372206
310;LdKutnoWSSEMGrunwal;PL0367A;Kutno-Grunwaldzka2;LdKutnoWSSEMGrunwal;01.07.1976;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Kutno;ul. Grunwaldzka 2;52.229167;19.372222
311;LdLaskWSSEMWarszaw;PL0255A;ùask-Warszawska;LdLaskWSSEMWarszaw;05.02.1990;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ùask;ul. Warszawska;51.590000;19.147222
312;LdLodzCzerni;PL0096A;ù¢d´-Widzew;LdLodzWIOSACzernik;01.11.2003;;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;ù¢d´;ul. Czernika 1/3;51.758050;19.529786
313;LdLodzGdansk;PL0543A;ù¢d´-Gda‰ska 16;LdLodzWIOSAGdanska;01.01.2012;;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;ù¢d´;ul. Gda‰ska 16;51.775411;19.450900
314;LdLodzJanPaw;PL0635A;ù¢d´-Jana Pawàa II 15;LdLodzJanPaw;27.10.2015;;komunikacyjna;miejski;kontenerowa stacjonarna;ù‡DZKIE;ù¢d´;al. Jana Pawàa II 15;51.754613;19.434925
315;LdLodzKilins;PL0589A;ù¢d´-Kili‰skiego 102/102a;LdLodzWIOSAKilinsk;01.01.2014;31.12.2017;komunikacyjna;miejski;kontenerowa stacjonarna;ù‡DZKIE;ù¢d´;ul. Kili‰skiego 102/102a;51.763801;19.467132
316;LdLodzLegion;PL0100A;ù¢d´-Legion¢w 1;LdLodzWSSEMLegiono;01.01.2004;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;ù¢d´;ul. Legion¢w 1;51.776417;19.452936
317;LdLodzRudzka;PL0101A;ù¢d´-Rudzka60;LdLodzWSSEMRudzka;01.01.1975;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;ù¢d´;ul. Rudzka 60;51.705581;19.434842
318;LdLodzWIOSARubinst;PL0097A;ù¢d´-ór¢dmieòcie;LdLodzWIOSARubinst;01.11.2003;31.12.2014;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Rubinsteina 77;51.767292;19.455339
319;LdLodzWSSEMAstrona;PL0368A;ù¢d´-Astronaut¢w;LdLodzWSSEMAstrona;01.01.1968;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Astronaut¢w 17;51.726111;19.461944
320;LdLodzWSSEMDeczyns;PL0099A;ù¢d´-Deczy‰skiego;LdLodzWSSEMDeczyns;01.01.1973;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Deczy‰skiego 24;51.803889;19.471111
321;LdLodzWSSEMPrzybys;PL0036A;ù¢d´-Przybyszewskiego10;LdLodzWSSEMPrzybys;05.03.1965;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Przybyszewskiego 10;51.744167;19.467228
322;LdLodzWSSEMRokicin;;ù¢d´-Rokici‰ska144;LdLodzWSSEMRokicin;02.01.1971;31.12.2003;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Rokici‰ska 144;51.758056;19.560278
323;LdLodzWSSEMWici3;PL0037A;ù¢d´-Wici3;LdLodzWSSEMWici3;07.01.1994;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Wici 3;51.798611;19.384722
324;LdLodzWSSEMWilensk;PL0369A;ù¢d´-Wile‰ska25;LdLodzWSSEMWilensk;01.01.1994;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Wile‰ska 25;51.752778;19.428333
325;LdLodzWSSEMWodna40;PL0002A;ù¢d´-WSSE Wodna40;LdLodzWSSEMWodna40;25.12.1998;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Wodna 40;51.761667;19.476944
326;LdLodzWSSEMZachodn;PL0102A;ù¢d´-Zachodnia81;LdLodzWSSEMZachodn;05.01.1967;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ù¢d´;ul. Zachodnia 81;51.774722;19.455003
327;LdLodzZachod;PL0098A;ù¢d´-Zachodnia 40;LdLodzWIOSAZachodn;02.09.2003;20.05.2016;komunikacyjna;miejski;kontenerowa stacjonarna;ù‡DZKIE;ù¢d´;ul. Zachodnia 40;51.777603;19.452408
328;LdLowiczSien;PL0609A;ùowicz-Henryka Sienkiewicza 62;LdLowSienkie;01.01.2015;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;ùowicz;ul. Henryka Sienkiewicza 62;52.105853;19.939553
329;LdLowiczWSSEMSwFlori;PL0370A;ùowicz-ów.Floriana3;LdLowiczWSSEMSwFlori;01.01.1994;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;ùowicz;ul. ów. Floriana 3;52.108056;19.936944
330;LdOpocCurieSk;PL0666A;Opoczno-Curie-Skàodowskiej 5;LdOpocCurieSk;01.01.2017;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Opoczno;ul. Curie-Skàodowskiej 5;51.379128;20.282169
331;LdOpocPlKosc;PL0508A;Opoczno-Pl Koòciuszki 15;LdOpocznWIOSMPlKosci;01.01.2010;01.01.2017;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Opoczno;pl. Koòciuszki 15;51.375842;20.289236
332;LdOpocznWSSEMPlKosci;PL0103A;Opoczno-Pl Koòciuszki;LdOpocznWSSEMPlKosci;01.01.1986;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Opoczno;pl. Koòciuszki;51.375000;20.275008
333;LdOzorkoWSSEMWigury1;PL0371A;Ozork¢w-Wigury 1;LdOzorkoWSSEMWigury1;04.02.1986;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Ozork¢w;ul. Wigury 1;51.967222;19.290283
334;LdPabianWSSEMNowa;PL0372A;Pabianice-Nowa1;LdPabianWSSEMNowa;01.01.1992;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Pabianice;ul. Nowa 1;51.659167;19.320833
335;LdPabiKilins;PL0537A;Pabianice-Kili‰skiego 4;LdPabianWIOSMKilinsk;08.12.2009;;tào;miejski;w budynku;ù‡DZKIE;Pabianice;ul. Kili‰skiego 4;51.663181;19.355486
336;LdPabiKonsta;PL0104A;Pabianice-Polfa;LdPabianWIOSAKonstan;01.11.2003;;przemysàowa;miejski;kontenerowa stacjonarna;ù‡DZKIE;Pabianice;ul. Konstantynowska;51.667981;19.368683
337;LdPajeczWSSEMZeromsk;PL0373A;Paj©czno-Ωeromskiego 7;LdPajeczWSSEMZeromsk;01.01.2001;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Paj©czno;ul. Ωeromskiego;51.150556;18.987781
338;LdParzniUjWo;PL0105A;Parzniewice;LdParzniWIOSAParznie;17.10.2003;;tào;pozamiejski;kontenerowa stacjonarna;ù‡DZKIE;Parzniewice;Uj©cie wody;51.291175;19.517556
339;LdPiotrkMZGKMkarolin;;Piotrk¢w Tryb. - Karolinowska 51;LdPiotrkMZGKMkarolin;01.06.1983;01.01.2008;przemysàowa;miejski;kontenerowa stacjonarna;ù‡DZKIE;Piotrk¢w Trybunalski;ul. Karolinowska 51;51.425000;19.682222
340;LdPioTrKraPr;PL0509A;Piotrk¢w Tryb.-Krakowskie Przedmieòcie;LdPiotrkWIOSAKrakPrz;15.12.2009;;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Piotrk¢w Trybunalski;ul. Krakowskie Przedmieòcie 13;51.404406;19.696956
341;LdPiotrkWIOSABelzack;PL0106A;Piotrk¢w Belzacka;LdPiotrkWIOSABelzack;09.03.1999;13.01.2009;tào;miejski;w budynku;ù‡DZKIE;Piotrk¢w Trybunalski;ul. Belzacka 78a;51.406944;19.673056
342;LdPiotrkWSSEM3goMaja;PL0107A;Piotrk¢wTryb.-3-goMaja8;LdPiotrkWSSEM3goMaja;01.01.1987;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Piotrk¢w Trybunalski;ul. 3 Maja 8;51.405000;19.693333
343;LdPioTrSienk;PL0510A;Piotrk¢wTryb.-Sienkiewicza 16;LdPiotrkWIOSMSienkie;01.01.2010;01.01.2015;tào;miejski;w budynku;ù‡DZKIE;Piotrk¢w Trybunalski;ul. Sienkiewicza 16;51.407844;19.688694
344;LdRadomsFAMEGMGlinia;;Radomsko-Gliniana26;LdRadomsFAMEGMGlinia;01.01.1990;01.04.2006;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Radomsko;ul. Gliniana 26;51.068056;19.426667
345;LdRadomsFAMEGMGolebi;;Radomsko-Goà©bia;LdRadomsFAMEGMGolebi;01.08.1990;01.11.2005;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Radomsko;ul. Goà©bia 8;-999;-999
346;LdRadomsMETALMPrzedb;;Radomsko-Przedborska;LdRadomsMETALMPrzedb;01.01.1990;01.04.2006;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Radomsko;ul. Przedborska;51.074722;19.461111
347;LdRadomsRoln;PL0544A;Radomsko-Rolna2;LdRadomsWIOSMRolna2;01.01.2010;;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Radomsko;ul. Rolna 2;51.067439;19.448694
348;LdRadomsSoko;PL0256A;Radomsko-Sokola4;LdRadomsWIOSASokola4;19.04.2005;20.05.2016;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Radomsko;ul. Sokola 4;51.063992;19.451164
349;LdRadomsWSSEMKomunyP;PL0108A;Radomsko-KomunyParyskiej5;LdRadomsWSSEMKomunyP;01.01.1995;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Radomsko;ul. Komuny Paryskiej 5;51.069444;19.441111
350;LdRadomsWSSEMZeromsk;PL0109A;Radomsko-Ωeromskiego 15;LdRadomsWSSEMZeromsk;01.01.2004;01.05.2011;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Radomsko;ul. Ωeromskiego 15;51.066111;19.441944
351;LdRawaMaWIOSMKoscius;PL0511A;Rawa Mazowiecka-Koòciuszki 5;LdRawaMaWIOSMKoscius;01.02.2008;31.12.2011;tào;miejski;w budynku;ù‡DZKIE;Rawa Mazowiecka;ul. Koòciuszki 5;51.763358;20.249978
352;LdRawaNiepod;PL0545A;Rawa Mazowiecka-Niepodlegàoòci 8;LdRawaMaWIOSMNiepodl;01.01.2010;;tào;miejski;w budynku;ù‡DZKIE;Rawa Mazowiecka;ul. Niepodlegàoòci 8;51.760875;20.250569
353;LdSieradWIOSMKoscius;PL0374A;Sieradz-Koòciuszki6;LdSieradWIOSMKoscius;01.01.2006;31.12.2011;komunikacyjna;miejski;w budynku;ù‡DZKIE;Sieradz;ul. Koòciuszki 6;51.594444;18.736111
354;LdSieradWSSEMArmiiKr;;Sieradz-ArmiiKrajowej7;LdSieradWSSEMArmiiKr;01.01.2003;31.03.2004;tào;miejski;w budynku;ù‡DZKIE;Sieradz;ul. Armii Krajowej 7;51.583889;18.710556
355;LdSieradWSSEMPOW52;PL0375A;Sieradz-POW52;LdSieradWSSEMPOW52;01.06.2004;01.01.2010;komunikacyjna;miejski;w budynku;ù‡DZKIE;Sieradz;ul. POW 52;51.595833;18.720278
356;LdSieraPolna;PL0636A;Sieradz-Polna 18/20;LdSieraPolna;01.01.2016;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Sieradz;ul. Polna 18/20;51.592111;18.734898
357;LdSierGrunwa;PL0110A;Sieradz-Grunwaldzka 28;LdSieradWSSEMGrunwal;01.01.2004;31.12.2015;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Sieradz;ul. Grunwaldzka 28;51.590125;18.717333
358;LdSkierKonop;PL0611A;Skierniewice-Marii Konopnickiej 5;LdSkiernWIOSMKonopni;01.07.2014;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Skierniewice;ul. Marii Konopnickiej 5;51.954314;20.149378
359;LdSkiernWIOSMJagiell;PL0546A;Skierniewice-Jagiello‰ska 28;LdSkiernWIOSMJagiell;01.01.2010;30.06.2014;tào;miejski;w budynku;ù‡DZKIE;Skierniewice;ul. Jagiello‰ska 28;51.959561;20.146183
360;LdSkiernWIOSMWitaStw;PL0512A;Skierniewice-Wita Stwosza2/4;LdSkiernWIOSMWitaStw;07.03.2008;31.12.2011;tào;miejski;w budynku;ù‡DZKIE;Skierniewice;ul. Wita Stwosza 2/4;51.960719;20.147408
361;LdSkiernWSSEMKoperni;PL0111A;Skierniewice-Kopernika5;LdSkiernWSSEMKoperni;02.01.1994;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Skierniewice;ul. Kopernika 5;51.952778;20.152222
362;LdSkiernWSSEMReymont;PL0112A;Skierniewice-Reymonta 33;LdSkiernWSSEMReymont;01.01.2004;01.05.2011;tào;miejski;w budynku;ù‡DZKIE;Skierniewice;ul. Reymonta 33;51.960000;20.147222
363;LdSkiernWSSEMWankowi;;Skierniewice-Wa‰kowicza10;LdSkiernWSSEMWankowi;16.01.1991;31.12.2003;tào;miejski;w budynku;ù‡DZKIE;Skierniewice;ul. Wa‰kowicza 10;51.973611;20.148889
364;LdToMaSwAnto;PL0547A;Tomasz¢wMaz.-ów. Antoniego43;LdTomaszWIOSMSwAnton;01.01.2010;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Tomasz¢w Mazowiecki;ul. ów. Antoniego 43/45;51.526258;20.016786
365;LdTomaszWSSEMSw.Anto;PL0113A;Tomasz¢wMaz.-ów.Antoniego24;LdTomaszWSSEMSw.Anto;01.01.1988;13.08.2014;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Tomasz¢w Mazowiecki;ul. ów. Antoniego 24;51.528889;20.010833
366;LdUniejTermy;PL0667A;Uniej¢w-Termy;LdUniejTermy;01.01.2017;;tào;podmiejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Uniej¢w;ul. Zamkowa 1;51.971664;18.790350
367;LdWielunWSSEMPOW14;PL0208A;Wielu‰-POW14;LdWielunWSSEMPOW14;01.01.2005;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Wielu‰;ul. POW 14;51.218611;18.581389
368;LdWielunWSSEMWojskaP;;Wielu‰-WojskaPolskiego;LdWielunWSSEMWojskaP;01.01.2003;01.01.2007;tào;miejski;w budynku;ù‡DZKIE;Wielu‰;ul. Wojska Polskiego;-999;-999
369;LdWieluPOW12;PL0590A;Wielu‰-POW 12;LdWielunWIOSMPOW;01.01.2012;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Wielu‰;ul. P.O.W. 12;51.217828;18.581828
370;LdZduWoKrole;PL0548A;Zdu‰skaWola-Kr¢lewska10;LdZdWolaWIOSMKrolews;01.01.2010;;tào;miejski;wolnostoj•cy pobornik pyàu;ù‡DZKIE;Zdu‰ska Wola;ul. Kr¢lewska 10;51.601439;18.940122
371;LdZdWolaWSSEMDabrows;PL0114A;Zdu‰skaWola-D•browskiego1;LdZdWolaWSSEMDabrows;01.01.2003;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Zdu‰ska Wola;ul. D•browskiego 1;51.601111;18.936944
372;LdZdWolaWSSEMPlWolno;;Zdu‰ska Wola-Plac Wolnoòci 20;LdZdWolaWSSEMPlWolno;01.01.2001;31.07.2003;tào;miejski;w budynku;ù‡DZKIE;Zdu‰ska Wola;pl. Wolnoòci 20;51.603056;18.934444
373;LdZdWolaWSSEMSzadkow;;Zdu‰skaWola-Szadkowska4;LdZdWolaWSSEMSzadkow;01.01.2003;01.01.2006;tào;miejski;w budynku;ù‡DZKIE;Zdu‰ska Wola;ul. Szadkowska 4;51.606667;18.939722
374;LdZgieMielcz;PL0115A;Zgierz-ór¢dmieòcie;LdZgierzWIOSAMielcza;01.09.2003;;tào;miejski;kontenerowa stacjonarna;ù‡DZKIE;Zgierz;ul. Mielczarskiego 1;51.856692;19.421231
375;LdZgierzWSSEMDabrows;;Zgierz-D•browskiego 12;LdZgierzWSSEMDabrows;01.01.1976;31.05.2000;tào;miejski;w budynku;ù‡DZKIE;Zgierz;ul. D•browskiego 12;51.856944;19.411944
376;LdZgierzWSSEMStRynek;PL0116A;Zgierz-Pl Jana Pawàa II;LdZgierzWSSEMStRynek;01.01.2000;01.01.2010;tào;miejski;w budynku;ù‡DZKIE;Zgierz;pl. Jana Pawàa II;51.856389;19.404444
